start_node,end_node,length
6159475835,6159476366,83.49376798952298
6159475836,6159475838,59.7967339167734
6159475836,6159475866,84.15077527715675
6159475836,6159476335,50.938916099791
6159475838,6159475836,59.7967339167734
6159475838,6159475845,107.0186774846003
6159475838,6159475866,186.68509380470792
6159475845,6159475838,107.01867748460029
6159475845,7663213051,62.80056516444462
6159475845,6159476335,132.42048961636823
6159475846,7663213051,147.1832895357719
6159475846,6159476342,187.2746272242254
6159475846,676493945,405.262025483538
6159475866,6159475838,186.68509380470792
6159475866,6159476296,139.6768788485526
6159475866,6159475836,84.15077527715677
6159475867,6159476289,143.34810685101024
6159476289,6159475867,143.34810685101021
6159476289,6200101122,2619.138110713247
6159476289,6159476296,350.1884320380693
6159476293,6159476296,99.0809908975633
6159476296,6159476293,99.0809908975633
6159476296,6159476289,350.1884320380694
6159476296,6159475866,139.6768788485526
6159476335,6159475845,132.42048961636823
6159476335,6159475836,50.93891609979101
6159476335,6159476342,138.34947253201685
6159476342,6159476335,138.34947253201682
6159476342,6159475846,187.27462722422544
6159476342,7663213051,91.57882513021835
6159476366,6159475835,83.49376798952298
6159476366,6128715695,1114.8326661928245
6159476366,7601957975,238.30346387508604
6159587479,6159587480,52.32524415509161
6159587480,6159587479,52.32524415509161
6159587480,6159590460,453.62082687396094
6159587480,6159590487,459.46961083661273
6159588986,6159590460,193.78319954700206
6159588996,4321931735,797.2834440551792
6159588996,4321931734,1073.291197170987
6159588996,6159590460,356.07984713171965
6159590451,6167979064,838.700820799865
6159590451,6159590460,238.349938893971
6159590451,7568353453,86.0691330791536
6159590460,6159588986,193.78319954700206
6159590460,6159588996,356.0798471317197
6159590460,6159590451,238.349938893971
6159590460,6159587480,453.620826873961
6159590487,6159587480,459.4696108366127
6159590487,6159590490,234.40679064779704
6159590487,7568353455,138.66532241434186
6159590490,4321931571,67.25138238077227
6159590490,6167368052,796.3755117161537
6159590490,6159590487,234.40679064779704
6159590490,4321931568,264.59725487092777
6159603969,6159603972,55.100485243113745
6159603972,6159603969,55.10048524311375
6159603972,6159603977,159.24047707520938
6159603972,6159475822,293.7746662241175
6159603977,6159632107,318.2172791953328
6159603977,676493945,265.65317556015214
6159603977,6159603972,159.24047707520938
6159603979,6159604286,194.00138604637513
6159604286,6159631865,105.08062776302799
6159604286,6159632107,50.2922561108091
6159604286,6159603979,194.0013860463752
6159625497,6155824674,116.92031430213368
6159625497,6159627286,538.208594564905
6159625497,6159625500,113.12315341406848
6159625500,6159625497,113.12315341406847
6159626196,6155824674,16.852371617032958
6159626196,6164274529,936.7809551184423
6159626196,7542022589,1484.3851754885545
6159626243,6159626254,416.1455263627864
6159626243,6159627154,186.64676195418585
6159626243,4431873099,106.64485246160967
6159626254,6159626243,416.1455263627864
6159627148,6159627154,194.77774670075362
6159627154,6159627148,194.77774670075365
6159627154,6159627286,50.23967668980709
6159627154,6159626243,186.64676195418585
6159627286,6159625497,538.208594564905
6159627286,6159627368,1771.8538126959236
6159627286,6159627154,50.23967668980709
6159627368,7542012569,1472.192197819755
6159627368,6159627286,1771.853812695923
6159627368,4431965460,693.4847928887871
6159631788,676493862,67.04872800079083
6159631795,6159632123,34.35736274262671
6159631795,6159632124,29.1423774752386
6159631795,7655155695,80.23488985573962
6159631798,6159632131,9.910562794205921
6159631798,4321931741,163.39678731578488
6159631798,4321931546,49.27670477940377
6159631799,7655155685,43.32488091308314
6159631799,7662968584,143.64168999218893
6159631799,4321931696,270.63831086544866
6159631800,6159631806,60.439295581696044
6159631806,676493857,56.390973819949295
6159631806,676493957,241.61826652239728
6159631806,6159631800,60.43929558169604
6159631807,6159632088,216.81754823564708
