node_id,latitude,longitude
6165059377,-5.5040446,105.4476356
6165059384,-5.5039458,105.4490988
6165059391,-5.4861697,105.4505057
6165059409,-5.5050218,105.4511923
6165059412,-5.5040045,105.4512244
6165059460,-5.4933251,105.4514042
6165059480,-5.4861524,105.4505056
6165080323,-5.6277456,105.4834076
6165080349,-5.6327616,105.4855446
6165188752,-5.6076887,105.4775645
6165219308,-5.5633855,105.3778097
6165219413,-5.5613099,105.3783301
6165220009,-5.5531143,105.3730112
6165220024,-5.5545865,105.3710144
6165220055,-5.5636498,105.3708547
6165220088,-5.5538003,105.3704819
6165220101,-5.5582292,105.3755661
6165220121,-5.555645,105.371823
6165220122,-5.5506609,105.3702244
6165220165,-5.5526197,105.37084
6165220175,-5.5507249,105.3715897
6165220618,-5.558855,105.3748516
6165299153,-5.5499347,105.3968829
6165299190,-5.5458702,105.4021762
6165299192,-5.5461138,105.4018256
6165299202,-5.5469322,105.4020309
6165299641,-5.5296865,105.4013756
6165431946,-5.5037376,105.4244024
6165431951,-5.5038804,105.4253787
6165431954,-5.5036842,105.4258521
6165431982,-5.505202,105.4318012
6165432596,-5.4878892,105.4280019
6165432624,-5.4919608,105.4294234
6165432791,-5.5019434,105.4316765
6165459710,-5.6137329,105.4651827
6165610824,-5.6323102,105.4852996
6165610825,-5.6332805,105.4840369
6165795360,-5.5513043,105.3982213
6165795379,-5.5513492,105.3958675
6165795380,-5.5717853,105.3956839
6165795401,-5.5626394,105.3991172
6166260949,-5.6454866,105.4754233
6166260955,-5.6463316,105.4760052
6166260956,-5.6462139,105.4760322
6166260960,-5.6446471,105.4693629
6166260964,-5.6456519,105.468782
6166260968,-5.6446818,105.4688613
6166260972,-5.6454025,105.4694702
6166260973,-5.6457294,105.46967
6166260975,-5.6462981,105.4697942
6166261004,-5.6524914,105.4741131
6166261005,-5.6524252,105.471388
6166261281,-5.6538811,105.4713745
6166261282,-5.6539612,105.4740836
6166261284,-5.6500222,105.4741736
6166261295,-5.6470987,105.4752302
6166261305,-5.6385097,105.4777826
6166324301,-5.5198725,105.4201591
6166464207,-5.6478301,105.4573265
6166714552,-5.5329222,105.421173
6166714606,-5.5431365,105.4109994
6166714613,-5.5416748,105.4105916
6166714614,-5.5422141,105.407086
6166714628,-5.5447437,105.4067039
6166714630,-5.5457514,105.4072362
6166714635,-5.5446942,105.4067963
6166714680,-5.5430924,105.4168868
6166714702,-5.5331558,105.4202637
6167313658,-5.5367253,105.4577905
6167313683,-5.5365344,105.4664085
6167313694,-5.5341036,105.4682135
6167313695,-5.5340443,105.4682524
6167342390,-5.562317,105.4197159
6167342395,-5.5620506,105.4201278
6167342433,-5.5646202,105.4247671
6167342438,-5.5609145,105.4217815
6167342448,-5.5593598,105.4230934
6167367221,-5.6014698,105.4246437
6167367232,-5.6045816,105.4211783
6167368038,-5.6125717,105.4055706
6167368052,-5.6011565,105.4042651
6167377618,-5.5313191,105.4756808
6167377619,-5.5347804,105.4700428
6167377624,-5.53389,105.4757184
6167395222,-5.534464,105.4797779
6167401436,-5.5960883,105.4105112
6167401449,-5.6053751,105.4145265
6167401468,-5.604637,105.4186168
6167401477,-5.6040602,105.4180756
6167401582,-5.5970132,105.4136521
6167401605,-5.6029647,105.4171041
6167401660,-5.5960642,105.413416
6167401668,-5.5942837,105.4124397
6167401670,-5.598109,105.4167876
6167414006,-5.6318868,105.446316
6167414027,-5.6284541,105.447405
6167414035,-5.6256407,105.4466298
6167414036,-5.6196161,105.4440656
6167414079,-5.6277108,105.4467197
6167414086,-5.6280498,105.4470281
6167488521,-5.5928329,105.4622282
6167488535,-5.592957,105.455976
6167488547,-5.5895054,105.4673848
6167488555,-5.5915529,105.4664567
6167488557,-5.5938112,105.4560873
6167488573,-5.5918305,105.4624267
6167488631,-5.5798674,105.4585781
6167488672,-5.5804934,105.4609525
6167488683,-5.5797467,105.4647809
6167532347,-5.5661495,105.482232
6167535298,-5.5559699,105.4726731
6167535313,-5.5669065,105.4826162
6167535375,-5.562626,105.4792146
6167535459,-5.5687331,105.4833948
6167929843,-5.5892785,105.4283479
6167929885,-5.5913954,105.4292008
6167929940,-5.5779719,105.4268821
6167929947,-5.5778184,105.4257931
6167979059,-5.5893866,105.3921099
6167979064,-5.5904584,105.3924814
6167979090,-5.5860698,105.3845903
6167979147,-5.576512,105.3844643
6167979152,-5.5722291,105.3847479
6167979162,-5.5729446,105.3846473
6168022222,-5.5458889,105.4032145
6168022236,-5.5390659,105.418124
6168022244,-5.5397847,105.4179489
6168022245,-5.5391653,105.4176345
6168022249,-5.5398621,105.4179491
6168023618,-5.5313458,105.4223505
6168023629,-5.5317302,105.423882
6168023634,-5.5321013,105.4242401
6168023635,-5.5332066,105.4239491
6168023643,-5.5322281,105.4238874
6168023789,-5.5343732,105.4045111
6168023797,-5.5351061,105.4026791
6168023853,-5.5431351,105.4064289
6168025206,-5.542726,105.4161512
6168025211,-5.5429243,105.4161022
6168450928,-5.5379372,105.4812411
6168450933,-5.5394671,105.4834274
6168478483,-5.5295843,105.4563875
6168480087,-5.5296104,105.4556286
6168480092,-5.5292556,105.456354
6168480093,-5.5359722,105.467097
6168480105,-5.5374637,105.4672813
6168480122,-5.5458662,105.4472896
6168480129,-5.5478845,105.4478663
6168480131,-5.5465283,105.4464152
6168480136,-5.5456352,105.4458548
6168480143,-5.5463014,105.4613644
6168480147,-5.5470596,105.4610085
6168480156,-5.5502898,105.463568
6168480164,-5.5464095,105.4654791
6168480169,-5.5461906,105.4639743
6168480179,-5.547938,105.4630814
6168480286,-5.5459732,105.4606192
6168480287,-5.5468252,105.4602101
6168480288,-5.5463441,105.4615241
6168480294,-5.5466964,105.4598078
6168480295,-5.5308599,105.45403
6168480297,-5.5306036,105.4576215
6168480303,-5.5312174,105.4572346
6168480304,-5.5331271,105.4580029
6168480313,-5.5315736,105.4559364
6168480326,-5.5296371,105.4563998
6168480330,-5.5314539,105.4520673
6168480332,-5.5303633,105.4521739
6168480337,-5.5310819,105.4507863
6168480357,-5.5175271,105.450511
6168480367,-5.5290164,105.4563247
6168480370,-5.5288376,105.4539295
6168480373,-5.5293288,105.4520264
6168480375,-5.5285906,105.449784
6168480376,-5.5292421,105.4487588
6168480377,-5.5282435,105.4483491
6168480380,-5.528879,105.4485288
6168480387,-5.529226,105.450798
6168480388,-5.5296358,105.4508275
